DateTime,SpotPrice_RRP,PredictedPrice_90q
2025-04-11 07:00:00,180.23,233.30293108195966
2025-04-11 07:30:00,108.45,214.85596450816416
2025-04-11 08:00:00,41.33,115.16238630782293
2025-04-11 08:30:00,40.49,65.54744923805805
2025-04-11 09:00:00,9.82,59.94797474853357
2025-04-11 09:30:00,4.03,36.976066888369495
2025-04-11 10:00:00,-3.74,32.8103497140409
2025-04-11 10:30:00,-10.17,30.766718135732045
2025-04-11 11:00:00,-15.42,22.459648326139696
2025-04-11 11:30:00,-18.4,14.105321099091181
2025-04-11 12:00:00,-12.94,23.167027405961132
2025-04-11 12:30:00,1.86,29.135445204105967
2025-04-11 13:00:00,-1.03,41.01988160136406
2025-04-11 13:30:00,18.2,43.17385883314089
2025-04-11 14:00:00,35.49,58.524401450495205
2025-04-11 14:30:00,62.45,68.20021131883563
2025-04-11 15:00:00,80.26,98.33932603937403
2025-04-11 15:30:00,77.38,109.86337688344388
2025-04-11 16:00:00,115.91,126.31366507531958
2025-04-11 16:30:00,143.37,198.90763544245513
2025-04-11 17:00:00,181.56,215.1325893722021
2025-04-11 17:30:00,282.43,243.33466024588708
2025-04-11 18:00:00,257.95,1498.3337493227439
2025-04-11 18:30:00,151.37,690.9667835148583
2025-04-11 19:00:00,135.7,162.44066269893895
2025-04-11 19:30:00,121.49,146.9682192193106
2025-04-11 20:00:00,105.21,134.86007007067184
2025-04-11 20:30:00,109.69,120.36335511314014
2025-04-11 21:00:00,109.02,127.60071791004601
2025-04-11 21:30:00,114.67,123.88214956403634
2025-04-11 22:00:00,107.7,140.22148483319728
2025-04-11 22:30:00,107.0,127.28863128173637
2025-04-11 23:00:00,104.42,115.13214966583546
2025-04-11 23:30:00,108.38,112.82735518279021
2025-04-12 00:00:00,102.08,113.54400757855782
2025-04-12 00:30:00,92.77,108.81728546932806
2025-04-12 01:00:00,91.19,101.2896517877335
2025-04-12 01:30:00,82.49,94.69961810301068
2025-04-12 02:00:00,70.09,89.0109757472055
2025-04-12 02:30:00,73.37,77.92663694294104
2025-04-12 03:00:00,64.12,80.33728408507477
2025-04-12 03:30:00,65.11,71.72272471110404
2025-04-12 04:00:00,71.73,72.63261286875506
2025-04-12 04:30:00,76.63,80.66484254054083
2025-04-12 05:00:00,76.98,80.90238924574378
2025-04-12 05:30:00,74.61,83.25195685606198
2025-04-12 06:00:00,79.7,85.14544585102502
2025-04-12 06:30:00,98.44,94.78050781171062
2025-04-12 07:00:00,94.67,117.81870682071178
2025-04-12 07:30:00,41.57,102.5428770601362
2025-04-12 08:00:00,-4.99,60.12502840885276
2025-04-12 08:30:00,-1.58,33.237726684379915
2025-04-12 09:00:00,-8.81,30.767007344138705
2025-04-12 09:30:00,1.22,31.626326429382104
2025-04-12 10:00:00,-5.49,29.690035802300162
2025-04-12 10:30:00,-12.93,23.42136905008933
2025-04-12 11:00:00,-8.67,20.62357246467133
2025-04-12 11:30:00,-10.85,26.70710265269496
2025-04-12 12:00:00,2.39,29.32467429622015
2025-04-12 12:30:00,-2.44,32.91532442569693
2025-04-12 13:00:00,-0.49,34.19634365278209
